p,d,k,l
427403,6,1,2
427529,6,1,2
427733,6,1,2
427859,6,1,2
427991,6,1,3
428093,6,1,2
428273,6,1,2
428471,6,1,2
428633,6,1,2
428843,6,1,2
428951,6,1,3
429083,6,1,2
429119,6,1,2
429281,6,1,2
429449,6,1,2
429899,6,1,2
429911,6,1,3
430289,6,1,2
430649,6,1,4
430799,6,1,2
430823,6,1,2
430949,6,1,2
431141,6,1,2
431153,6,1,2
431363,6,1,2
431369,6,1,2
431891,6,1,2
431933,6,1,2
432023,6,1,2
432053,6,1,2
432059,6,1,2
432149,6,1,2
432161,6,1,2
432203,6,1,2
432251,6,1,2
432401,6,1,2
432479,6,1,2
432749,6,1,3
432923,6,1,2
432989,6,1,2
433061,6,1,2
433259,6,1,2
433319,6,1,4
433421,6,1,2
433571,6,1,2
433781,6,1,2
433859,6,1,2
433943,6,1,2
434009,6,1,2
434243,6,1,2
434363,6,1,2
434471,6,1,3
434699,6,1,3
434831,6,1,2
434873,6,1,2
434909,6,1,2
434939,6,1,2
434963,6,1,2
435041,6,1,2
435161,6,1,2
435371,6,1,2
435731,6,1,2
435839,6,1,3
435881,6,1,3
436283,6,1,2
436343,6,1,2
436853,6,1,2
436979,6,1,2
437201,6,1,2
437243,6,1,2
437273,6,1,2
437681,6,1,2
437771,6,1,2
438131,6,1,2
438143,6,1,2
438521,6,1,2
438611,6,1,3
438671,6,1,2
438701,6,1,2
438869,6,1,2
438941,6,1,2
438953,6,1,2
439349,6,1,2
439493,6,1,2
439511,6,1,2
439559,6,1,2
439583,6,1,2
439613,6,1,2
439811,6,1,2
439853,6,1,2
439919,6,1,2
440171,6,1,2
440183,6,1,2
440333,6,1,2
440399,6,1,2
440441,6,1,2
440501,6,1,2
440549,6,1,2
440579,6,1,2
440831,6,1,2
441041,6,1,2
441179,6,1,2
441359,6,1,2
441461,6,1,2
442121,6,1,2
442181,6,1,3
442499,6,1,2
442619,6,1,2
442691,6,1,2
442919,6,1,2
442961,6,1,2
442973,6,1,2
442979,6,1,2
443123,6,1,2
443153,6,1,2
443231,6,1,2
443273,6,1,2
443291,6,1,2
443489,6,1,2
443711,6,1,2
443771,6,1,2
443879,6,1,2
443909,6,1,2
444029,6,1,3
444089,6,1,2
444131,6,1,2
444179,6,1,2
444341,6,1,2
444443,6,1,2
444569,6,1,3
444623,6,1,2
444863,6,1,2
444953,6,1,2
445001,6,1,3
445031,6,1,3
445229,6,1,2
445271,6,1,2
445433,6,1,2
445463,6,1,2
445499,6,1,2
445589,6,1,2
445619,6,1,2
445829,6,1,3
445853,6,1,2
445871,6,1,2
445883,6,1,2
445943,6,1,2
446009,6,1,2
446261,6,1,2
446273,6,1,2
446279,6,1,2
446333,6,1,2
446549,6,1,2
446609,6,1,5
446951,6,1,2
446969,6,1,2
447101,6,1,2
447119,6,1,2
447263,6,1,2
447641,6,1,2
447893,6,1,2
448631,6,1,2
448733,6,1,2
448853,6,1,2
449129,6,1,4
449153,6,1,2
449261,6,1,2
449303,6,1,2
449363,6,1,2
449381,6,1,2
449411,6,1,2
449591,6,1,3
449693,6,1,2
449759,6,1,2
449951,6,1,2
450071,6,1,2
450293,6,1,2
450311,6,1,2
450431,6,1,3
450479,6,1,2
450503,6,1,2
450533,6,1,2
450839,6,1,2
450893,6,1,2
451343,6,1,2
451361,6,1,2
451481,6,1,2
451679,6,1,2
451901,6,1,3
452009,6,1,4
452033,6,1,2
452279,6,1,2
452363,6,1,2
452453,6,1,2
453053,6,1,2
453269,6,1,2
453461,6,1,2
453569,6,1,3
453599,6,1,2
453683,6,1,2
453833,6,1,2
453851,6,1,2
453983,6,1,2
454229,6,1,2
454313,6,1,2
454361,6,1,3
454379,6,1,2
454409,6,1,2
454799,6,1,2
454931,6,1,2
455099,6,1,2
455261,6,1,2
455291,6,1,3
455309,6,1,2
455321,6,1,2
455393,6,1,2
455531,6,1,2
455573,6,1,2
455579,6,1,3
455681,6,1,2
455831,6,1,2
456023,6,1,2
456119,6,1,3
456233,6,1,2
456623,6,1,2
456899,6,1,2
457013,6,1,2
457139,6,1,2
457421,6,1,2
457433,6,1,2
457571,6,1,3
457739,6,1,2
457829,6,1,2
458063,6,1,2
458501,6,1,2
458621,6,1,2
458663,6,1,2
458729,6,1,4
458879,6,1,2
458891,6,1,2
458921,6,1,2
458963,6,1,2
459293,6,1,2
459341,6,1,2
459383,6,1,2
459479,6,1,3
459509,6,1,2
459611,6,1,2
459929,6,1,2
460073,6,1,2
460403,6,1,2
460571,6,1,3
460643,6,1,2
460871,6,1,3
460919,6,1,2
460979,6,1,2
461183,6,1,2
461309,6,1,2
461333,6,1,2
461561,6,1,2
461693,6,1,2
461801,6,1,2
461843,6,1,2
462041,6,1,3
462149,6,1,3
462191,6,1,2
462263,6,1,2
462653,6,1,2
462911,6,1,2
463283,6,1,2
463433,6,1,2
463451,6,1,3
463643,6,1,2
463889,6,1,2
464021,6,1,2
464069,6,1,2
464081,6,1,2
464213,6,1,2
464279,6,1,2
464309,6,1,2
464351,6,1,3
464603,6,1,2
464699,6,1,2
464741,6,1,2
464753,6,1,2
464813,6,1,2
464819,6,1,3
465089,6,1,3
465161,6,1,3
465581,6,1,2
465659,6,1,2
465743,6,1,2
465929,6,1,2
466019,6,1,2
466283,6,1,2
466331,6,1,3
466409,6,1,2
466853,6,1,2
466919,6,1,2
467063,6,1,2
467171,6,1,3
467261,6,1,2
467399,6,1,2
467471,6,1,2
467531,6,1,2
467591,6,1,2
467651,6,1,2
467669,6,1,2
467699,6,1,2
468059,6,1,3
468113,6,1,2
468323,6,1,2
468389,6,1,2
468593,6,1,2
469121,6,1,2
469193,6,1,2
469229,6,1,2
469253,6,1,2
469439,6,1,2
469583,6,1,2
469589,6,1,2
469649,6,1,2
469673,6,1,2
469811,6,1,2
469919,6,1,2
470201,6,1,3
470303,6,1,2
470513,6,1,2
470579,6,1,3
470831,6,1,2
470999,6,1,2
471389,6,1,2
471521,6,1,2
471539,6,1,2
471671,6,1,2
471683,6,1,2
471749,6,1,4
472019,6,1,3
472193,6,1,2
472289,6,1,2
472793,6,1,2
472883,6,1,2
473411,6,1,2
473471,6,1,3
473513,6,1,2
473741,6,1,2
473789,6,1,2
473981,6,1,2
474143,6,1,2
474443,6,1,2
474983,6,1,2
475103,6,1,2
475229,6,1,2
475511,6,1,2
475523,6,1,2
475529,6,1,3
475649,6,1,2
475823,6,1,2
476081,6,1,2
476219,6,1,3
476243,6,1,2
476279,6,1,2
476369,6,1,2
476429,6,1,2
476519,6,1,2
476753,6,1,2
476783,6,1,2
476849,6,1,2
477131,6,1,3
477359,6,1,2
477461,6,1,2
477551,6,1,2
477863,6,1,2
477941,6,1,2
478001,6,1,2
478199,6,1,2
478421,6,1,3
478451,6,1,2
478493,6,1,2
478631,6,1,3
479081,6,1,2
479243,6,1,2
479441,6,1,3
479639,6,1,2
479813,6,1,2
479861,6,1,2
479879,6,1,2
479939,6,1,2
480059,6,1,4
480209,6,1,4
480533,6,1,2
480569,6,1,2
480713,6,1,2
480773,6,1,2
480839,6,1,2
481133,6,1,2
481181,6,1,2
481301,6,1,2
481373,6,1,2
481433,6,1,2
481571,6,1,2
481619,6,1,2
482099,6,1,2
482231,6,1,2
482351,6,1,3
482393,6,1,2
482441,6,1,2
482483,6,1,2
482633,6,1,2
482711,6,1,2
482753,6,1,2
482759,6,1,2
482819,6,1,2
483209,6,1,3
483629,6,1,3
483869,6,1,2
483929,6,1,2
484079,6,1,2
484229,6,1,2
484259,6,1,2
484283,6,1,2
484439,6,1,3
484703,6,1,2
484733,6,1,2
484751,6,1,2
485021,6,1,3
485123,6,1,2
485423,6,1,2
485519,6,1,2
485603,6,1,2
485819,6,1,2
486023,6,1,2
486203,6,1,2
486221,6,1,2
486341,6,1,2
486443,6,1,2
486449,6,1,3
486641,6,1,2
486683,6,1,2
487073,6,1,2
487079,6,1,2
487463,6,1,2
487691,6,1,2
488051,6,1,3
488153,6,1,2
488303,6,1,2
488321,6,1,2
488399,6,1,2
488441,6,1,3
488459,6,1,3
488573,6,1,2
488723,6,1,2
488861,6,1,2
488909,6,1,2
489101,6,1,2
489161,6,1,2
489179,6,1,3
489239,6,1,2
489299,6,1,2
489431,6,1,2
489551,6,1,2
489689,6,1,2
489941,6,1,2
489959,6,1,2
490481,6,1,2
490499,6,1,2
490631,6,1,2
490643,6,1,2
490733,6,1,2
490991,6,1,2
491171,6,1,2
491201,6,1,2
491279,6,1,2
491423,6,1,2
491483,6,1,2
491531,6,1,3
491633,6,1,2
491789,6,1,2
492029,6,1,2
492059,6,1,2
492083,6,1,2
492281,6,1,2
492293,6,1,2
492731,6,1,2
492839,6,1,2
493133,6,1,2
493169,6,1,2
493463,6,1,2
493481,6,1,3
493541,6,1,2
493793,6,1,2
494381,6,1,2
494561,6,1,2
494639,6,1,2
494789,6,1,2
494843,6,1,2
495119,6,1,2
495161,6,1,2
495359,6,1,2
495461,6,1,2
495563,6,1,2
495611,6,1,3
495713,6,1,2
495749,6,1,2
495773,6,1,2
495821,6,1,2
495851,6,1,2
496481,6,1,2
496703,6,1,2
496733,6,1,2
496763,6,1,2
496841,6,1,2
496889,6,1,2
496913,6,1,2
497153,6,1,2
497279,6,1,2
497291,6,1,2
497663,6,1,2
497831,6,1,2
497873,6,1,2
497963,6,1,2
497993,6,1,2
498401,6,1,2
498521,6,1,3
498551,6,1,3
498653,6,1,2
498689,6,1,2
498791,6,1,2
499211,6,1,2
499679,6,1,2
499781,6,1,2
499979,6,1,2
500333,6,1,2
500459,6,1,2
500501,6,1,2
500579,6,1,2
500693,6,1,2
500723,6,1,2
500729,6,1,4
500861,6,1,3
500891,6,1,2
501131,6,1,2
501173,6,1,2
501233,6,1,2
501383,6,1,2
501731,6,1,2
501953,6,1,2
501971,6,1,2
502013,6,1,2
502181,6,1,2
502451,6,1,3
502553,6,1,2
502643,6,1,2
503003,6,1,2
503231,6,1,2
503369,6,1,2
503423,6,1,2
503441,6,1,2
503549,6,1,2
503621,6,1,3
503879,6,1,2
503969,6,1,4
504209,6,1,2
504359,6,1,2
504389,6,1,2
504461,6,1,2
504473,6,1,2
504599,6,1,2
504671,6,1,2
504821,6,1,2
504893,6,1,2
504929,6,1,2
505283,6,1,2
505313,6,1,2
505619,6,1,2
506339,6,1,2
506351,6,1,2
506381,6,1,2
506459,6,1,2
506501,6,1,2
506531,6,1,2
506699,6,1,3
506843,6,1,2
507359,6,1,3
507371,6,1,2
507431,6,1,2
507599,6,1,2
507779,6,1,2
507953,6,1,2
508331,6,1,3
508439,6,1,2
508559,6,1,4
508661,6,1,2
508811,6,1,2
508841,6,1,2
508913,6,1,2
508961,6,1,2
509123,6,1,2
509429,6,1,3
509633,6,1,2
509699,6,1,2
509843,6,1,2
509909,6,1,2
509963,6,1,2
510203,6,1,2
510299,6,1,3
510683,6,1,2
511061,6,1,2
511151,6,1,2
511193,6,1,2
511523,6,1,2
511541,6,1,2
511583,6,1,2
511631,6,1,2
511859,6,1,4
512573,6,1,2
512663,6,1,2
512741,6,1,2
512903,6,1,2
513059,6,1,2
513083,6,1,2
513203,6,1,2
513239,6,1,3
513473,6,1,2
513533,6,1,2
513839,6,1,2
513899,6,1,2
514001,6,1,3
514049,6,1,2
514103,6,1,2
514289,6,1,2
514499,6,1,3
514733,6,1,2
514823,6,1,2
515153,6,1,2
515351,6,1,2
515369,6,1,2
515381,6,1,2
515639,6,1,2
515741,6,1,2
516023,6,1,2
516053,6,1,2
516209,6,1,2
516233,6,1,2
516539,6,1,2
516563,6,1,2
516611,6,1,3
516713,6,1,2
516839,6,1,2
517061,6,1,2
517073,6,1,2
517091,6,1,2
517169,6,1,2
517553,6,1,2
517733,6,1,2
517739,6,1,2
518123,6,1,2
518153,6,1,2
518159,6,1,2
518249,6,1,2
518471,6,1,2
518543,6,1,2
518813,6,1,2
518981,6,1,2
519131,6,1,2
519269,6,1,2
519353,6,1,2
519413,6,1,2
519521,6,1,2
519713,6,1,2
519803,6,1,2
519881,6,1,2
519971,6,1,2
519989,6,1,2
520193,6,1,2
520241,6,1,2
520889,6,1,2
521021,6,1,2
521051,6,1,2
521243,6,1,2
521309,6,1,2
521399,6,1,3
521819,6,1,2
521831,6,1,2
521861,6,1,2
521879,6,1,2
522083,6,1,2
522113,6,1,2
522191,6,1,2
522239,6,1,2
522383,6,1,2
522521,6,1,2
522761,6,1,2
522839,6,1,2
522881,6,1,2
523403,6,1,2
523433,6,1,2
523553,6,1,2
523793,6,1,2
524063,6,1,2
524171,6,1,3
524351,6,1,2
524519,6,1,3
524591,6,1,2
524669,6,1,2
524801,6,1,2
524831,6,1,3
524873,6,1,2
524921,6,1,2
524981,6,1,3
524999,6,1,2
525641,6,1,3
525809,6,1,3
525923,6,1,2
526049,6,1,2
526139,6,1,2
526283,6,1,2
526373,6,1,2
526703,6,1,2
526733,6,1,2
526853,6,1,2
526913,6,1,2
526931,6,1,2
527099,6,1,2
527123,6,1,2
527129,6,1,2
527291,6,1,3
527333,6,1,2
527633,6,1,2
527699,6,1,2
528299,6,1,2
528329,6,1,2
528509,6,1,4
528611,6,1,2
528821,6,1,2
529271,6,1,2
529313,6,1,2
529649,6,1,2
529709,6,1,2
529751,6,1,2
529871,6,1,3
529961,6,1,2
530021,6,1,2
530093,6,1,2
530741,6,1,2
531101,6,1,2
531203,6,1,2
531281,6,1,2
531299,6,1,2
531353,6,1,2
531521,6,1,3
531689,6,1,2
531731,6,1,2
531911,6,1,3
531983,6,1,2
532349,6,1,3
532391,6,1,2
532523,6,1,2
532529,6,1,2
532739,6,1,3
532751,6,1,2
532919,6,1,2
532949,6,1,3
533033,6,1,2
533189,6,1,3
533261,6,1,2
533321,6,1,2
533573,6,1,2
533693,6,1,2
533969,6,1,2
533993,6,1,2
533999,6,1,2
534101,6,1,2
534203,6,1,2
535019,6,1,2
535103,6,1,2
535169,6,1,2
535511,6,1,2
535523,6,1,2
535679,6,1,3
535709,6,1,2
536051,6,1,2
536099,6,1,4
536219,6,1,2
536621,6,1,2
536699,6,1,2
536801,6,1,2
536909,6,1,2
537011,6,1,2
537041,6,1,2
537143,6,1,2
537749,6,1,2
538001,6,1,2
538019,6,1,4
538151,6,1,3
538199,6,1,2
538259,6,1,2
538511,6,1,2
538523,6,1,2
538529,6,1,2
538589,6,1,2
538649,6,1,2
538799,6,1,2
538871,6,1,3
538931,6,1,2
539009,6,1,5
539321,6,1,2
539573,6,1,2
539993,6,1,2
540041,6,1,2
540173,6,1,2
540269,6,1,2
540383,6,1,2
540461,6,1,2
540539,6,1,2
540989,6,1,2
541049,6,1,2
541193,6,1,2
541301,6,1,2
541349,6,1,2
541361,6,1,2
541529,6,1,4
541721,6,1,2
541991,6,1,2
542021,6,1,2
542123,6,1,2
542183,6,1,2
542579,6,1,2
542831,6,1,2
542933,6,1,2
543131,6,1,2
543149,6,1,2
543509,6,1,2
543689,6,1,2
544013,6,1,2
544031,6,1,2
544133,6,1,2
544223,6,1,2
544259,6,1,2
544403,6,1,2
544451,6,1,3
544613,6,1,2
544781,6,1,2
545063,6,1,2
545483,6,1,2
545579,6,1,2
545609,6,1,2
545621,6,1,2
545843,6,1,2
546053,6,1,2
546239,6,1,2
546599,6,1,2
546869,6,1,2
547061,6,1,2
547271,6,1,2
547301,6,1,3
547373,6,1,2
547499,6,1,2
547559,6,1,2
547619,6,1,3
547643,6,1,2
547889,6,1,2
548039,6,1,2
548153,6,1,2
548189,6,1,2
548213,6,1,2
548291,6,1,3
548351,6,1,2
548363,6,1,2
548393,6,1,2
548441,6,1,2
548459,6,1,2
548519,6,1,2
548771,6,1,2
548909,6,1,2
549011,6,1,2
549221,6,1,2
549551,6,1,2
549569,6,1,2
549623,6,1,2
549749,6,1,2
549863,6,1,2
549911,6,1,2
550061,6,1,2
550073,6,1,2
550139,6,1,2
550241,6,1,3
550661,6,1,2
550703,6,1,2
550733,6,1,2
551003,6,1,2
551093,6,1,2
551129,6,1,2
551231,6,1,2
551339,6,1,2
551363,6,1,2
551423,6,1,2
551483,6,1,2
551489,6,1,2
551543,6,1,2
551801,6,1,2
551849,6,1,2
551861,6,1,2
551951,6,1,2
552053,6,1,2
552059,6,1,2
552089,6,1,2
552239,6,1,2
552341,6,1,2
552353,6,1,2
552473,6,1,2
552581,6,1,2
552731,6,1,2
552791,6,1,2
552809,6,1,2
552971,6,1,2
553043,6,1,2
553139,6,1,2
553181,6,1,2
553211,6,1,2
553463,6,1,2
553583,6,1,2
553601,6,1,2
553733,6,1,2
553901,6,1,2
553961,6,1,3
554003,6,1,2
554051,6,1,2
554129,6,1,3
554453,6,1,2
554663,6,1,2
554699,6,1,2
554789,6,1,2
554891,6,1,2
554951,6,1,3
555083,6,1,2
555293,6,1,2
555419,6,1,2
555491,6,1,2
555521,6,1,2
556043,6,1,2
556271,6,1,2
556331,6,1,2
556373,6,1,2
556763,6,1,2
556793,6,1,2
556799,6,1,2
556859,6,1,3
556931,6,1,3
556943,6,1,2
557261,6,1,2
557633,6,1,2
557663,6,1,2
557759,6,1,2
557789,6,1,2
558053,6,1,2
558209,6,1,2
558539,6,1,3
558599,6,1,2
558683,6,1,2
558731,6,1,3
558881,6,1,2
559001,6,1,3
559133,6,1,2
559259,6,1,2
559523,6,1,2
559649,6,1,2
559679,6,1,2
559973,6,1,2
560093,6,1,2
560159,6,1,2
560249,6,1,2
560393,6,1,2
560459,6,1,2
560771,6,1,2
561461,6,1,2
561713,6,1,2
562043,6,1,2
562301,6,1,3
562349,6,1,3
562403,6,1,2
562493,6,1,2
562703,6,1,2
562739,6,1,2
562949,6,1,2
563021,6,1,3
563219,6,1,2
563351,6,1,2
563411,6,1,2
563561,6,1,3
563723,6,1,2
563831,6,1,2
564149,6,1,2
564191,6,1,2
564251,6,1,3
564269,6,1,2
564299,6,1,2
564359,6,1,3
564449,6,1,3
564593,6,1,2
564653,6,1,2
564671,6,1,2
564761,6,1,2
564779,6,1,2
564881,6,1,3
564923,6,1,2
565049,6,1,2
565289,6,1,2
565319,6,1,2
565391,6,1,2
565469,6,1,2
565511,6,1,2
565661,6,1,2
565919,6,1,2
565979,6,1,2
566201,6,1,2
566231,6,1,2
566393,6,1,2
566441,6,1,2
566693,6,1,2
566759,6,1,2
567719,6,1,2
568091,6,1,2
568163,6,1,2
568241,6,1,2
568289,6,1,2
568349,6,1,3
568751,6,1,2
568853,6,1,2
568979,6,1,2
569213,6,1,2
569573,6,1,2
569711,6,1,3
569759,6,1,2
569843,6,1,2
569903,6,1,2
570071,6,1,3
570191,6,1,3
570491,6,1,2
570569,6,1,2
570659,6,1,2
571001,6,1,2
571019,6,1,2
571211,6,1,2
571583,6,1,2
571673,6,1,2
572051,6,1,3
572069,6,1,2
572303,6,1,2
572321,6,1,2
572333,6,1,2
572549,6,1,2
572651,6,1,2
573161,6,1,2
573473,6,1,2
573791,6,1,2
574109,6,1,2
574163,6,1,2
574169,6,1,2
574373,6,1,2
574433,6,1,2
574439,6,1,3
574529,6,1,3
575369,6,1,3
575573,6,1,2
575579,6,1,2
575651,6,1,2
575699,6,1,3
575903,6,1,2
576671,6,1,2
576683,6,1,2
576731,6,1,2
576743,6,1,2
576899,6,1,2
577169,6,1,4
577463,6,1,2
577589,6,1,3
577931,6,1,2
578183,6,1,2
578213,6,1,2
578453,6,1,2
578621,6,1,2
578789,6,1,2
579503,6,1,2
579539,6,1,4
579563,6,1,2
579569,6,1,4
579629,6,1,2
579641,6,1,3
579893,6,1,2
579983,6,1,2
580259,6,1,2
580529,6,1,3
580553,6,1,2
580631,6,1,2
581183,6,1,2
581429,6,1,2
581573,6,1,2
581753,6,1,2
581891,6,1,2
581921,6,1,2
582161,6,1,2
582209,6,1,3
582251,6,1,2
582299,6,1,2
582551,6,1,2
582563,6,1,2
582689,6,1,2
582821,6,1,2
582899,6,1,3
582971,6,1,3
583013,6,1,2
583301,6,1,3
583403,6,1,2
583493,6,1,2
583673,6,1,2
583769,6,1,3
583853,6,1,2
584261,6,1,3
584399,6,1,2
584429,6,1,2
584663,6,1,2
584873,6,1,2
584879,6,1,2
585341,6,1,2
585671,6,1,3
585911,6,1,2
585989,6,1,2
586073,6,1,2
586139,6,1,2
586403,6,1,2
586433,6,1,2
586769,6,1,2
586793,6,1,2
586871,6,1,3
586973,6,1,2
586979,6,1,2
587123,6,1,2
587381,6,1,2
587441,6,1,2
587459,6,1,2
587519,6,1,2
587549,6,1,2
587621,6,1,2
587633,6,1,2
587693,6,1,2
587789,6,1,3
587813,6,1,2
587969,6,1,2
588011,6,1,2
588383,6,1,2
588389,6,1,2
588509,6,1,4
588881,6,1,3
589181,6,1,2
589241,6,1,2
589349,6,1,2
589481,6,1,2
589601,6,1,2
589643,6,1,2
589763,6,1,2
590021,6,1,3
590123,6,1,2
590321,6,1,2
590363,6,1,2
590399,6,1,2
590489,6,1,3
590753,6,1,2
590963,6,1,2
591581,6,1,2
591599,6,1,2
592061,6,1,2
592121,6,1,2
592199,6,1,4
592451,6,1,2
592463,6,1,2
592589,6,1,3
592643,6,1,2
592649,6,1,2
592853,6,1,2
593501,6,1,3
593783,6,1,2
593933,6,1,2
593969,6,1,2
594179,6,1,2
594449,6,1,5
594563,6,1,2
594911,6,1,2
594953,6,1,2
594959,6,1,2
595139,6,1,2
595253,6,1,2
595319,6,1,2
595949,6,1,2
595961,6,1,3
596093,6,1,2
596279,6,1,2
596423,6,1,2
596633,6,1,2
596741,6,1,2
596831,6,1,2
596933,6,1,2
597221,6,1,3
597353,6,1,2
598421,6,1,3
598463,6,1,2
598883,6,1,2
598973,6,1,2
599213,6,1,2
599303,6,1,2
599321,6,1,2
599519,6,1,2
599561,6,1,3
599591,6,1,3
599831,6,1,2
599939,6,1,3
599999,6,1,2
600221,6,1,2
600233,6,1,2
600623,6,1,2
600641,6,1,3
600791,6,1,2
600893,6,1,2
600959,6,1,2
601031,6,1,2
601193,6,1,2
601241,6,1,2
601313,6,1,2
601589,6,1,2
601631,6,1,2
601889,6,1,2
601943,6,1,2
601949,6,1,4
602411,6,1,2
602513,6,1,2
602729,6,1,2
602831,6,1,2
602909,6,1,3
602951,6,1,2
602999,6,1,2
603131,6,1,2
603173,6,1,2
603191,6,1,2
603203,6,1,2
603521,6,1,2
603689,6,1,2
603719,6,1,2
603989,6,1,2
604013,6,1,2
604223,6,1,2
604619,6,1,2
604781,6,1,3
604823,6,1,2
604973,6,1,2
605009,6,1,2
605051,6,1,2
605249,6,1,2
605261,6,1,3
605393,6,1,2
605543,6,1,2
605603,6,1,2
605639,6,1,3
605861,6,1,2
605921,6,1,2
606059,6,1,2
606113,6,1,2
606173,6,1,2
606341,6,1,2
606503,6,1,2
606971,6,1,2
607091,6,1,2
607109,6,1,2
607319,6,1,5
607331,6,1,2
607583,6,1,2
607619,6,1,2
607703,6,1,2
607823,6,1,2
607889,6,1,2
607961,6,1,2
608033,6,1,2
608273,6,1,2
608411,6,1,2
608423,6,1,2
608609,6,1,2
608831,6,1,3
608843,6,1,2
609233,6,1,2
609461,6,1,3
609743,6,1,2
609803,6,1,2
609809,6,1,2
609821,6,1,2
609923,6,1,2
609929,6,1,3
610163,6,1,2
610331,6,1,2
610391,6,1,2
610409,6,1,4
610541,6,1,2
610559,6,1,2
610583,6,1,2
610619,6,1,2
610721,6,1,2
610763,6,1,2
610829,6,1,2
611333,6,1,2
611483,6,1,2
611603,6,1,2
611729,6,1,3
611801,6,1,2
611939,6,1,3
611969,6,1,2
611993,6,1,2
612149,6,1,2
612173,6,1,2
612383,6,1,2
612611,6,1,2
613169,6,1,3
613523,6,1,2
613661,6,1,2
613829,6,1,2
613841,6,1,2
614093,6,1,2
614291,6,1,2
614639,6,1,2
614741,6,1,2
614759,6,1,2
615053,6,1,2
615269,6,1,2
615299,6,1,2
615431,6,1,3
615599,6,1,2
615623,6,1,2
615743,6,1,2
615773,6,1,2
615941,6,1,3
615971,6,1,3
616169,6,1,2
616439,6,1,2
616523,6,1,2
616589,6,1,2
616769,6,1,2
616793,6,1,2
616799,6,1,2
616943,6,1,2
616961,6,1,2
616991,6,1,2
617189,6,1,2
617231,6,1,2
617273,6,1,2
617531,6,1,2
617579,6,1,3
617651,6,1,2
617681,6,1,2
617723,6,1,2
618119,6,1,2
618311,6,1,2
618329,6,1,2
618413,6,1,2
618521,6,1,2
618581,6,1,2
618869,6,1,2
619373,6,1,2
619511,6,1,2
619589,6,1,2
620003,6,1,2
620099,6,1,2
620159,6,1,2
620261,6,1,3
620303,6,1,2
620351,6,1,2
620429,6,1,3
620519,6,1,2
620579,6,1,2
620813,6,1,2
620849,6,1,2
620909,6,1,2
620981,6,1,2
621059,6,1,2
621083,6,1,2
621473,6,1,2
621671,6,1,2
621779,6,1,2
621821,6,1,2
621941,6,1,2
621983,6,1,2
622019,6,1,2
622049,6,1,2
622091,6,1,2
622241,6,1,2
622301,6,1,2
622313,6,1,2
622493,6,1,2
622613,6,1,2
622889,6,1,2
623351,6,1,2
623531,6,1,2
623621,6,1,2
623723,6,1,2
623729,6,1,2
623879,6,1,2
623933,6,1,2
624119,6,1,2
624191,6,1,2
624203,6,1,2
624251,6,1,3
624509,6,1,2
624521,6,1,3
624593,6,1,2
625253,6,1,2
625589,6,1,3
625643,6,1,2
625661,6,1,2
625763,6,1,2
625871,6,1,2
625913,6,1,2
626051,6,1,2
626201,6,1,3
626261,6,1,2
626663,6,1,2
626861,6,1,2
627059,6,1,2
627089,6,1,2
627101,6,1,2
627251,6,1,2
627383,6,1,2
627449,6,1,2
627479,6,1,2
627491,6,1,2
627593,6,1,2
627953,6,1,2
628139,6,1,2
628289,6,1,2
628373,6,1,2
628679,6,1,3
628781,6,1,3
628913,6,1,2
629081,6,1,2
629171,6,1,2
629243,6,1,2
629483,6,1,2
629819,6,1,2
629963,6,1,2
630023,6,1,2
630029,6,1,2
630299,6,1,2
630713,6,1,2
630911,6,1,2
631181,6,1,2
631259,6,1,2
631271,6,1,3
631391,6,1,2
631409,6,1,2
631469,6,1,2
631619,6,1,3
631751,6,1,2
631901,6,1,3
631931,6,1,2
632321,6,1,2
632381,6,1,2
632393,6,1,2
632993,6,1,2
633053,6,1,2
633161,6,1,2
633263,6,1,2
633359,6,1,2
633383,6,1,2
633449,6,1,2
633599,6,1,2
633653,6,1,2
633953,6,1,2
634103,6,1,2
634223,6,1,2
634313,6,1,2
634373,6,1,2
634421,6,1,2
634643,6,1,2
634649,6,1,2
634841,6,1,2
634871,6,1,2
635039,6,1,2
635051,6,1,2
635249,6,1,2
635279,6,1,2
635333,6,1,2
635339,6,1,2
635471,6,1,2
635801,6,1,2
635969,6,1,2
636563,6,1,2
636731,6,1,2
636749,6,1,2
636953,6,1,2
637379,6,1,2
637601,6,1,3
637751,6,1,2
637781,6,1,3
637841,6,1,2
638051,6,1,2
638633,6,1,2
638861,6,1,2
638933,6,1,2
639053,6,1,2
639143,6,1,2
639263,6,1,2
639311,6,1,2
639329,6,1,2
639491,6,1,3
639713,6,1,2
639833,6,1,2
639839,6,1,2
639851,6,1,2
639911,6,1,2
639959,6,1,4
640259,6,1,2
640583,6,1,2
640631,6,1,2
640691,6,1,2
640793,6,1,2
640901,6,1,2
640949,6,1,2
641093,6,1,2
641213,6,1,2
641453,6,1,2
641471,6,1,2
641513,6,1,2
641549,6,1,3
641579,6,1,2
641969,6,1,4
642233,6,1,2
642623,6,1,2
642809,6,1,2
642881,6,1,2
642899,6,1,3
643073,6,1,2
643199,6,1,3
643403,6,1,2
643421,6,1,2
643469,6,1,2
643523,6,1,2
643589,6,1,2
643619,6,1,2
643661,6,1,2
643949,6,1,4
643991,6,1,3
644051,6,1,2
644123,6,1,2
644153,6,1,2
644411,6,1,2
644513,6,1,2
644519,6,1,2
644729,6,1,2
644783,6,1,2
