p,d,k,l
2551,4,1,1
2557,4,1,1
2579,4,1,1
2591,4,1,1
2593,4,1,1
2609,4,1,1
2617,4,1,1
2621,4,1,1
2633,4,1,1
2647,4,1,1
2657,4,1,1
2659,4,1,1
2663,4,1,1
2671,4,1,1
2677,4,1,1
2683,4,1,1
2687,4,1,1
2689,4,1,1
2693,4,1,2
2699,4,1,4
2707,4,1,1
2711,4,1,1
2713,4,1,1
2719,4,1,1
2729,4,1,1
2731,4,1,1
2741,4,1,2
2749,4,1,1
2753,4,1,2
2767,4,1,1
2777,4,1,1
2789,4,1,1
2791,4,1,1
2797,4,1,1
2801,4,1,1
2803,4,1,1
2819,4,1,3
2833,4,1,1
2837,4,1,1
2843,4,1,1
2851,4,1,1
2857,4,1,1
2861,4,1,1
2879,4,1,1
2887,4,1,1
2897,4,1,1
2903,4,1,2
2909,4,1,1
2917,4,1,1
2927,4,1,1
2939,4,1,2
2953,4,1,1
2957,4,1,1
2963,4,1,2
2969,4,1,2
2971,4,1,1
2999,4,1,1
3001,4,1,1
3011,4,1,1
3019,4,1,1
3023,4,1,2
3037,4,1,1
3041,4,1,1
3049,4,1,1
3061,4,1,1
3067,4,1,1
3079,4,1,1
3083,4,1,1
3089,4,1,1
3109,4,1,1
3119,4,1,1
3121,4,1,1
3137,4,1,1
3163,4,1,1
3167,4,1,1
3169,4,1,1
3181,4,1,1
3187,4,1,1
3191,4,1,1
3203,4,1,1
3209,4,1,1
3217,4,1,1
3221,4,1,1
3229,4,1,1
3251,4,1,1
3253,4,1,1
3257,4,1,1
3259,4,1,1
3271,4,1,1
3299,4,1,2
3301,4,1,1
3307,4,1,1
3313,4,1,1
3319,4,1,1
3323,4,1,1
3329,4,1,2
3331,4,1,1
3343,4,1,1
3347,4,1,1
3359,4,1,2
3361,4,1,1
3371,4,1,1
3373,4,1,1
3389,4,1,2
3391,4,1,1
3407,4,1,1
3413,4,1,2
3433,4,1,1
3449,4,1,3
3457,4,1,1
3461,4,1,1
3463,4,1,1
3467,4,1,1
3469,4,1,1
3491,4,1,3
3499,4,1,1
3511,4,1,1
3517,4,1,1
3527,4,1,1
3529,4,1,1
3533,4,1,1
3539,4,1,4
3541,4,1,1
3547,4,1,1
3557,4,1,1
3559,4,1,1
3571,4,1,1
3581,4,1,1
3583,4,1,1
3593,4,1,2
3607,4,1,1
3613,4,1,1
3617,4,1,1
3623,4,1,2
3631,4,1,1
3637,4,1,1
3643,4,1,1
3659,4,1,1
3671,4,1,1
3673,4,1,1
3677,4,1,1
3691,4,1,1
3697,4,1,1
3701,4,1,1
3709,4,1,1
3719,4,1,1
3727,4,1,1
3733,4,1,1
3739,4,1,1
3761,4,1,2
3767,4,1,1
3769,4,1,1
3779,4,1,2
3793,4,1,1
3797,4,1,1
3803,4,1,2
3821,4,1,3
3823,4,1,1
3833,4,1,1
3847,4,1,1
3851,4,1,2
3853,4,1,1
3863,4,1,2
3877,4,1,1
3881,4,1,1
3889,4,1,1
3907,4,1,1
3911,4,1,3
3917,4,1,1
3919,4,1,1
3923,4,1,1
3929,4,1,1
3931,4,1,1
3943,4,1,1
3947,4,1,1
3967,4,1,1
3989,4,1,1
4001,4,1,1
4003,4,1,1
4007,4,1,1
4013,4,1,1
4019,4,1,2
4021,4,1,1
4027,4,1,1
4049,4,1,1
4051,4,1,1
4057,4,1,1
4073,4,1,2
4079,4,1,1
4091,4,1,1
4093,4,1,1
4099,4,1,1
4111,4,1,1
4127,4,1,1
4129,4,1,1
4133,4,1,1
4139,4,1,1
4153,4,1,1
4157,4,1,1
4159,4,1,1
4177,4,1,1
4201,4,1,1
4211,4,1,2
4217,4,1,1
4219,4,1,1
4229,4,1,1
4231,4,1,1
4241,4,1,1
4243,4,1,1
4253,4,1,1
4259,4,1,1
4261,4,1,1
4271,4,1,2
4273,4,1,1
4283,4,1,1
4289,4,1,1
4297,4,1,1
4327,4,1,1
4337,4,1,1
4339,4,1,1
4349,4,1,2
4357,4,1,1
4363,4,1,1
4373,4,1,2
4391,4,1,2
4397,4,1,1
4409,4,1,2
4421,4,1,1
4423,4,1,1
4441,4,1,1
4447,4,1,1
4451,4,1,1
4457,4,1,1
4463,4,1,1
4481,4,1,2
4483,4,1,1
4493,4,1,1
4507,4,1,1
4513,4,1,1
4517,4,1,1
4519,4,1,1
4523,4,1,1
4547,4,1,1
4549,4,1,1
4561,4,1,1
4567,4,1,1
4583,4,1,1
4591,4,1,1
4597,4,1,1
4603,4,1,1
4621,4,1,1
4637,4,1,1
4639,4,1,1
4643,4,1,1
4649,4,1,1
4651,4,1,1
4657,4,1,1
4663,4,1,1
4673,4,1,1
4679,4,1,1
4691,4,1,1
4703,4,1,1
4721,4,1,1
4723,4,1,1
4729,4,1,1
4733,4,1,2
4751,4,1,1
4759,4,1,1
4783,4,1,1
4787,4,1,1
4789,4,1,1
4793,4,1,2
4799,4,1,1
4801,4,1,1
4813,4,1,1
4817,4,1,1
4831,4,1,1
4861,4,1,1
4871,4,1,2
4877,4,1,1
4889,4,1,1
4903,4,1,1
4909,4,1,1
4919,4,1,2
4931,4,1,1
4933,4,1,1
4937,4,1,1
4943,4,1,2
4951,4,1,1
4957,4,1,1
4967,4,1,1
4969,4,1,1
4973,4,1,1
4987,4,1,1
4993,4,1,1
4999,4,1,1
5003,4,1,2
5009,4,1,1
5011,4,1,1
5021,4,1,1
5023,4,1,1
5039,4,1,2
5051,4,1,2
5059,4,1,1
5077,4,1,1
5081,4,1,3
5087,4,1,1
5099,4,1,1
5101,4,1,1
5107,4,1,1
5113,4,1,1
5119,4,1,1
5147,4,1,1
5153,4,1,1
5167,4,1,1
5171,4,1,2
5179,4,1,1
5189,4,1,1
5197,4,1,1
5209,4,1,1
5227,4,1,1
5231,4,1,2
5233,4,1,1
5237,4,1,1
5261,4,1,1
5273,4,1,1
5279,4,1,2
5281,4,1,1
5297,4,1,1
5303,4,1,2
5309,4,1,1
5323,4,1,1
5333,4,1,2
5347,4,1,1
5351,4,1,1
5381,4,1,1
5387,4,1,1
5393,4,1,1
5399,4,1,3
5407,4,1,1
5413,4,1,1
5417,4,1,1
5419,4,1,1
5431,4,1,1
5437,4,1,1
5441,4,1,3
5443,4,1,1
5449,4,1,1
5471,4,1,1
5477,4,1,1
5479,4,1,1
5483,4,1,1
5501,4,1,2
5503,4,1,1
5507,4,1,1
5519,4,1,1
5521,4,1,1
5527,4,1,1
5531,4,1,1
5557,4,1,1
5563,4,1,1
5569,4,1,1
5573,4,1,1
5581,4,1,1
5591,4,1,1
5623,4,1,1
5639,4,1,2
5641,4,1,1
5647,4,1,1
5651,4,1,1
5653,4,1,1
5657,4,1,1
5659,4,1,1
5669,4,1,1
5683,4,1,1
5689,4,1,1
5693,4,1,1
5701,4,1,1
5711,4,1,2
5717,4,1,1
5737,4,1,1
5741,4,1,2
5743,4,1,1
5749,4,1,1
5779,4,1,1
5783,4,1,1
5791,4,1,1
5801,4,1,1
5807,4,1,1
5813,4,1,1
5821,4,1,1
5827,4,1,1
5839,4,1,1
5843,4,1,1
5849,4,1,3
5851,4,1,1
5857,4,1,1
5861,4,1,1
5867,4,1,1
5869,4,1,1
5879,4,1,1
5881,4,1,1
5897,4,1,1
5903,4,1,2
5923,4,1,1
5927,4,1,1
5939,4,1,1
5953,4,1,1
5981,4,1,1
5987,4,1,1
6007,4,1,1
6011,4,1,1
6029,4,1,1
6037,4,1,1
6043,4,1,1
6047,4,1,1
6053,4,1,2
6067,4,1,1
6073,4,1,1
6079,4,1,1
6089,4,1,1
6091,4,1,1
6101,4,1,3
6113,4,1,2
6121,4,1,1
6131,4,1,3
6133,4,1,1
6143,4,1,1
6151,4,1,1
6163,4,1,1
6173,4,1,2
6197,4,1,1
6199,4,1,1
6203,4,1,1
6211,4,1,1
6217,4,1,1
6221,4,1,1
6229,4,1,1
6247,4,1,1
6257,4,1,1
6263,4,1,2
6269,4,1,2
6271,4,1,1
6277,4,1,1
6287,4,1,1
6299,4,1,1
6301,4,1,1
6311,4,1,1
6317,4,1,1
6323,4,1,2
6329,4,1,2
6337,4,1,1
6343,4,1,1
6353,4,1,1
6359,4,1,1
6361,4,1,1
6367,4,1,1
6373,4,1,1
6379,4,1,1
6389,4,1,1
6397,4,1,1
6421,4,1,1
6427,4,1,1
6449,4,1,4
6451,4,1,1
6469,4,1,1
6473,4,1,1
6481,4,1,1
6491,4,1,2
6521,4,1,2
6529,4,1,1
6547,4,1,1
6551,4,1,2
6553,4,1,1
6563,4,1,2
6569,4,1,1
6571,4,1,1
6577,4,1,1
