d,l,c
1,1,5
1,2,3
1,3,2
1,4,1
1,5,1
1,6,1
1,7,1
2,1,29
2,2,10
2,3,6
2,4,3
2,5,2
2,6,1
2,7,1
3,1,177
3,2,39
3,3,14
3,4,5
3,5,3
3,6,2
3,7,1
4,1,1245
4,2,195
4,3,49
4,4,11
4,5,5
4,6,2
4,7,1
5,1,9629
5,2,1166
5,3,223
5,4,38
5,5,12
5,6,4
5,7,1
6,1,78627
6,2,7811
6,3,1224
6,4,166
6,5,42
6,6,11
6,7,3
6,8,1
7,1,664917
7,2,56128
7,3,7490
7,4,865
7,5,184
7,6,38
7,7,7
7,8,1
8,1,5762208
8,2,423295
8,3,49317
8,4,4981
8,5,925
8,6,163
8,7,26
8,8,4
8,9,1
9,1,50849234
9,2,3307888
9,3,342313
9,4,30784
9,5,5092
9,6,797
9,7,112
9,8,14
9,9,2
10,1,455055611
10,2,26568824
10,3,2474126
10,4,200677
10,5,29995
10,6,4244
10,7,537
10,8,59
10,9,6
11,1,4118066382
11,2,218116100
11,3,18467000
11,4,1364634
11,5,186163
11,6,24075
11,7,2787
11,8,282
11,9,26
11,10,2
12,1,37607950155
12,2,1822875206
12,3,141508860
12,4,9604968
12,5,1205527
12,6,143645
12,7,15340
12,8,1431
12,9,121
12,10,7
12,11,1
13,1,346065644574
13,2,15462613545
13,3,1108354916
13,4,69572458
13,5,8087169
13,6,893659
13,7,88615
13,8,7682
13,9,606
13,10,33
13,11,3
14,1,3204942057494
14,2,132822400006
14,3,8843480457
14,4,516335677
14,5,55898741
14,6,5759888
14,7,533181
14,8,43193
14,9,3185
14,10,161
14,11,14
14,12,1
15,1,29844571416837
15,2,1153300619298
15,3,71692368724
15,4,3912779365
15,5,396421331
15,6,38268606
15,7,3322171
15,8,252639
15,9,17503
15,10,830
15,11,67
15,12,4
15,13,1
16,1,279238343439287
16,2,10108191153303
16,3,589269046617
16,4,30192720667
16,5,2874716370
16,6,261051148
16,7,21337964
16,8,1529192
16,9,99920
16,10,4473
16,11,340
16,12,20
16,13,2
17,1,2623557159261336
17,2,89321935620541
17,3,4902328532645
17,4,236707422252
17,5,21258108211
17,6,1822456631
17,7,140751090
17,8,9538423
17,9,589812
17,10,25002
17,11,1802
17,12,103
17,13,11
17,14,1
18,1,24739954258542284
18,2,795023499975024
18,3,41221823839092
18,4,1881975624552
18,5,159942476545
18,6,12986108937
18,7,950578356
18,8,61100549
18,9,3586076
18,10,144382
18,11,9892
18,12,535
18,13,55
18,14,5
18,15,1
19,1,234057666955391456
19,2,7121833014230593
19,3,349927098983570
19,4,15150987260492
19,5,1222061455534
19,6,94237629228
19,7,6556189150
19,8,400790754
19,9,22386215
19,10,858286
19,11,56029
19,12,2889
19,13,284
19,14,27
19,15,2
20,1,2220819596084710400
20,2,64165438807939848
20,3,2995872497070918
20,4,123347303353697
20,5,9467186095927
20,6,695148182177
20,7,46079297732
20,8,2685591404
20,9,143096125
20,10,5236631
20,11,326471
20,12,16086
20,13,1514
20,14,135
20,15,12
20,16,1
21,1,21127269429490274304
21,2,581111514503136640
21,3,25846302761544756
21,4,1014380450323537
21,5,74260625256011
21,6,5204071176422
21,7,329422345280
21,8,18344821142
21,9,934468499
21,10,32710034
21,11,1951583
21,12,92072
21,13,8302
21,14,710
21,15,59
21,16,4
22,1,201467286198341992448
22,2,5287538402378328064
22,3,224537474243208160
22,4,8418662572449258
22,5,589115421943567
22,6,39484331906061
22,7,2391703308824
22,8,127516445843
22,9,6222066865
22,10,208727803
22,11,11940459
22,12,540377
22,13,46761
22,14,3837
22,15,305
22,16,22
22,17,1
23,1,1925320387317711503360
23,2,48316908469342732288
23,3,1963012407380587264
23,4,70453155043444816
23,5,4721811553237723
23,6,303253068549286
23,7,17610623625175
23,8,900594552809
23,9,42169270188
23,10,1358115449
23,11,74621377
23,12,3244966
23,13,269928
23,14,21300
23,15,1629
23,16,115
23,17,7
24,1,18435599729585679237120
24,2,443237051929402015744
24,3,17260951766751619072
24,4,594104636184410240
24,5,38203404242787440
24,6,2355233197106492
24,7,131352255907452
24,8,6453860295352
24,9,290470355599
24,10,8995820077
24,11,475492244
24,12,19899363
24,13,1593651
24,14,121117
24,15,8924
24,16,606
24,17,36
24,18,2
25,1,176846309064378035470336
25,2,4080600024294338592768
25,3,152583273712040673280
25,4,5044974400642749440
25,5,311778621642850304
25,6,18480587416168904
25,7,991382846001364
25,8,46873247985828
25,9,2030878120070
25,10,60571693371
25,11,3084502840
25,12,124409963
25,13,9605956
25,14,704104
25,15,50053
25,16,3278
25,17,187
25,18,8
25,19,1
26,1,1699246747884849545084928
26,2,37691164918526689411072
26,3,1355399404807802060800
26,4,43117061187825434624
26,5,2564759926558831104
26,6,146386911643694848
26,7,7564591596970294
26,8,344662474316955
26,9,14395965021057
26,10,414069883614
26,11,20341884118
26,12,791798008
26,13,59020165
26,14,4177734
26,15,286890
26,16,18157
26,17,1000
26,18,40
26,19,3
27,1,16352460400017190978322432
27,2,349199303167102718836736
27,3,12094401644447657885696
27,4,370699029130791550976
27,5,21254065615182446592
27,6,1169726552389969920
27,7,58306140243822672
27,8,2563454542762242
27,9,103354076985337
27,10,2870545671771
27,11,136216967953
27,12,5123248397
27,13,369114204
27,14,25261869
27,15,1677781
27,16,102730
27,17,5474
27,18,213
27,19,16
27,20,1
28,1,157589269033799967374835712
28,2,3244354232401433418792960
28,3,108371376268355412426752
28,4,3204698050144790642688
28,5,177337113580815777792
28,6,9422948606688688128
28,7,453639682324286592
28,8,19269154097103392
28,9,750840371087264
28,10,20160759112322
28,11,925192942229
28,12,33661878989
28,13,2346797649
28,14,155463854
28,15,9997066
28,16,592827
28,17,30602
28,18,1154
28,19,85
28,20,6
29,1,1520698105442759190918463488
29,2,30221599400068022899048448
29,3,974831477326804057849856
29,4,27846936192093664575488
29,5,1489057799211996938240
29,6,76482734918905053184
29,7,3560346002203095040
29,8,146280100487609632
29,9,5514999911092063
29,10,143321388650304
29,11,6367526382394
29,12,224355329991
29,13,15151506388
29,14,972549180
29,15,60614127
29,16,3484683
29,17,174432
29,18,6378
29,19,453
29,20,31
30,1,14692398858740048931158228992
30,2,282203920034111573240840192
30,3,8800636501023323536228352
30,4,243131311625287558496256
30,5,12577403006850718236672
30,6,625162459842912452608
30,7,28171049530519072768
30,8,1120742718058973312
30,9,40926240591018064
30,10,1030448266540570
30,11,44367542082609
30,12,1515404241448
30,13,99234112724
30,14,6177929783
30,15,373544397
30,16,20839010
30,17,1012493
30,18,35944
30,19,2482
30,20,166
